Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster,Actors_id,Director_id
Raiders of the Lost Ark,"Action, Adventure","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'Ronald Lacey']",['Steven Spielberg'],"Lawrence Kasdan (screenplay), George Lucas (story), Philip Kaufman (story)","English, German, Hebrew, Spanish, Arabic, Nepali",242374454,USA,12 Jun 1981,115 min,8.5,Won 4 Oscars. Another 29 wins & 23 nominations.,tt0082971.jpg,"[1751, 4621, 5177, 14356]",[787]
On Golden Pond,Drama,"['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda', 'Doug McKeon']",['Mark Rydell'],"Ernest Thompson (screenplay), Ernest Thompson (based on his play)",English,119285432,"UK, USA",12 Feb 1982,109 min,7.7,Won 3 Oscars. Another 11 wins & 23 nominations.,tt0082846.jpg,"[2895, 2457, 610, 13282]",[469]
Arthur,"Comedy, Romance","['Dudley Moore', 'Liza Minnelli', 'John Gielgud', 'Geraldine Fitzgerald']",['Steve Gordon'],Steve Gordon,English,95461682,USA,17 Jul 1981,97 min,6.9,Won 2 Oscars. Another 9 wins & 6 nominations.,tt0082031.jpg,"[5584, 6274, 11096, 3003]",[297]
Stripes,"Action, Comedy, War","['Bill Murray', 'Harold Ramis', 'Warren Oates', 'P.J. Soles']",['Ivan Reitman'],"Len Blum, Daniel Goldberg, Harold Ramis","English, Russian, Polish",85300000,USA,26 Jun 1981,106 min,6.9,,tt0083131.jpg,"[11298, 6558, 13663, 9170]",[2564]
The Cannonball Run,"Action, Comedy, Sport","['Burt Reynolds', 'Roger Moore', 'Farrah Fawcett', 'Dom DeLuise']",['Hal Needham'],Brock Yates,"English, Cantonese, Japanese, Arabic",59900000,"USA, Hong Kong",19 Jun 1981,95 min,6.1,1 win & 2 nominations.,tt0082136.jpg,"[13707, 14724, 14753, 14900]",[1015]
Time Bandits,"Adventure, Comedy, Fantasy","['John Cleese', 'Sean Connery', 'Shelley Duvall', 'Katherine Helmond']",['Terry Gilliam'],"Michael Palin, Terry Gilliam",English,42365600,UK,06 Nov 1981,110 min,7.0,1 win & 8 nominations.,tt0081633.jpg,"[7705, 6373, 9884, 4293]",[531]
Absence of Malice,"Drama, Romance, Thriller","['Paul Newman', 'Sally Field', 'Bob Balaban', 'Melinda Dillon']",['Sydney Pollack'],Kurt Luedtke,"English, Spanish",40700000,USA,18 Dec 1981,116 min,6.9,Nominated for 3 Oscars. Another 3 wins & 5 nominations.,tt0081974.jpg,"[11378, 3903, 1493, 4550]",[2393]
Reds,"Biography, Drama, History","['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jerzy Kosinski']",['Warren Beatty'],"Warren Beatty, Trevor Griffiths","English, Russian, German, French, Finnish",0,USA,25 Dec 1981,195 min,7.5,Won 3 Oscars. Another 19 wins & 34 nominations.,tt0082979.jpg,"[4336, 15471, 3434, 15269]",[591]
The Fox and the Hound,"Animation, Adventure, Drama","['Mickey Rooney', 'Kurt Russell', 'Pearl Bailey', 'Jack Albertson']","['Ted Berman', 'Richard Rich', 'Art Stevens']","Daniel P. Mannix (based on the book by), Larry Clemmons (story), Ted Berman (story), David Michener (story), Peter Young (story), Burny Mattinson (story), Steve Hulett (story), Earl Kress (story), Vance Gerry (story)",English,29800000,USA,10 Jul 1981,83 min,7.3,1 win & 2 nominations.,tt0082406.jpg,"[10606, 10691, 11931, 7319]","[1423, 4622, 4809]"
Taps,Drama,"['George C. Scott', 'Timothy Hutton', 'Ronny Cox', 'Sean Penn']",['Harold Becker'],"Darryl Ponicsan (screenplay), Robert Mark Kamen (screenplay), James Lineberger (adaptation), Devery Freeman (novel)",English,0,USA,25 Dec 1981,126 min,6.7,,tt0083169.jpg,"[2453, 14638, 11827, 10227]",[570]
Sharky's Machine,"Action, Crime, Drama","['Burt Reynolds', 'Vittorio Gassman', 'Brian Keith', 'Charles Durning']",['Burt Reynolds'],"William Diehl (novel), Gerald Di Pego (screenplay)","English, French, Italian",0,USA,18 Dec 1981,122 min,6.3,,tt0083064.jpg,"[13707, 593, 792, 10670]",[2637]
